company_isin,family,reason
INE410B01037,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note 19 (p161) is 'Opening Stock of Raw Materials / Purchases during the year / Closing Stock of Raw Materials / Total 1,182.29'. Isobutylene and other crude-derived feedstocks are not itemised. Checked p138, p161, p184, p206."
INE421C01016,tyres,"AGGREGATED_SINGLE_LINE: Note (p104) is an opening/purchases/closing roll-forward to 'Cost of Materials consumed' with no components. Checked p82, p98, p104, p127, p154."
INE438A01022,tyres,"QUALITATIVE_ONLY: The Board's Report (p79) and MD&A (p57, p80) name the crude-linked basket explicitly - 'Crude related based RM basket including Carbon Black, Synthetic Rubber, Fabric and Chemicals' - and state a 4% reduction in raw material cost, but attach no value or share to any component. The financial-statement note (p228, p303) is a single line. Named is not measured."
INE445C01015,packaging_films,"AGGREGATED_SINGLE_LINE: Note 32 (p116) is 'Raw material at the beginning of the year / Add: Purchases during the year / Less: Raw material at the end of the year / Cost of materials consumed 3,50,00.77'. No polymer line. Checked p91, p116, p144, p170."
INE463A01038,paints,"NO_BREAKUP_DISCLOSED: Note 36 (p178) gives Raw materials Consumed and Packing material Consumed as roll-forwards only. The LODR commodity table (p142) is filled 'NIL' with the statement 'No commodity is considered to be material'. Checked p142, p152, p178."
INE484C01030,lubricants,"AGGREGATED_SINGLE_LINE: Note 24 (p146) is headed 'Raw Materials (including Packing Materials)' - a single merged roll-forward to 1,106.31. Checked p32, p93, p105, p108, p121, p128, p142, p146."
INE488A01050,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note (p178 standalone, p237 consolidated) is 'Inventories of material at the beginning of the year / Add: Purchase / Inventories of material at the end of the year'. EDC and VCM, the crude-linked PVC feedstocks, are not itemised. Checked p161, p178, p219, p237."
INE516A01017,packaging_films,"AGGREGATED_SINGLE_LINE: Note 27 (p107) is Opening Stock / Purchases / less Inter Unit Purchases / less Closing Stock to a single TOTAL of 4,95,875.04. Checked p54, p107, p108, p138, p139."
INE531A01024,paints,"NO_BREAKUP_DISCLOSED: Note 31 (p309) gives Raw Material Consumed and Packing Material Consumed as roll-forwards only; no material-type split. Checked p275, p309."
INE533A01012,tyres,"AGGREGATED_SINGLE_LINE: Note 20 (p144) is 'Raw materials at the beginning of the year / Add: Purchases / Less: Raw materials at the end of the year'. No components. Checked p39, p120, p144."
INE548C01032,fmcg_distribution,"AGGREGATED_SINGLE_LINE: The note (p281 standalone, p378 consolidated) is an opening/purchases/closing roll-forward with no components. Checked p237, p281, p331, p378."
INE573A01042,tyres,"PARTIAL_ONLY_NON_CRUDE_QUANTIFIED: The Corporate Governance Report (p94) quantifies only natural rubber: 'Natural Rubber is considered a material commodity, as its consumption constitutes more than 30% out of overall cost of raw material consumed... consumed 1,12,618 MT rubber, valuing ₹2,152 Crores'. That is the non-crude input. The commodity-risk note (p141) lists synthetic rubber, carbon black, fabric and crude oil by name with no values, and the P&L note (p121) is a single line. A crude share by subtraction would also sweep in steel and bead wire."
INE633B01018,packaging_films,"NO_BREAKUP_DISCLOSED: Note (p229 standalone, p320 consolidated) splits only 'Raw material consumed 1,00,582.32' from 'Packing material consumed 3,796.44'. The polymer inputs inside the raw-material line are not itemised. Checked p81, p188, p229, p268, p320."
INE635Q01029,lubricants,"NO_BREAKUP_DISCLOSED: The note (p216 standalone, p294 consolidated) splits 'Cost of Raw Materials Consumed 1,64,335.16' from 'Cost of Packing Materials Consumed' but does not itemise base oil or additives inside the raw line. The LODR commodity table (p150) reads 'Total exposure of the listed entity to commodities: Nil' and 'NOT APPLICABLE', while the narrative on the same page calls the company 'a sizable user of imported Base oil' - the disclosure contradicts itself and quantifies neither side."
INE647A01010,packaging_films,"AGGREGATED_SINGLE_LINE: Note 24.1 (p158) is an opening/purchases/closing roll-forward to 5,766.91, explicitly 'including packing material'. SRF's three segments (chemicals, packaging films, technical textiles) are not split by material anywhere in the note. Checked p132, p158, p179, p189, p216, p237."
INE717W01049,lubricants,"AGGREGATED_SINGLE_LINE: Note 25 (p127 P&L reference) is a single 'Cost of Materials Consumed 27,538.99'; no base-oil line in the note. The commodity-risk note (p181) names base oil qualitatively. Checked p127, p156, p181, p185, p199, p230, p256."
INE757A01017,packaging_films,"NOTE_BODY_NOT_IN_TEXT_LAYER: The P&L (p78 standalone, p122 consolidated) carries 'Cost of materials consumed 2,288.36' but no note table with components could be located in the text layer. The 'Other expenses' note (p100) separately shows 'Stores, spare parts and packing materials consumed 144.33' and 'Power and fuel 219.12', neither of which is the raw-material breakup this exercise needs."
INE769A01020,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note 29 (p178) does split the base four ways - 'Consumption of Raw Materials 3,950.31 / Consumption of Packing Materials 50.64 / Consumption of Fuel 309.91 / Consumption of Stores & Spares 72.36' - but the raw-material line, which is where the benzene and toluene derivatives sit, is a single aggregate. 'Consumption of Fuel' is not identified as crude versus coal or briquette and is not assumed to be either. The BRSR materials table (p62) is tonnage, not value, and not by commodity."
INE787D01026,tyres,"AGGREGATED_SINGLE_LINE: Note 31 (p263) reads 'Raw Material Consumed 5,140.85' and nothing further. The Rupee-Spent chart (p92) gives a raw-material share of total cost but no commodity split. Checked p230, p263, p298."
INE792Z01011,paints,"AGGREGATED_SINGLE_LINE: Note 32 (p119) is headed 'Raw and Packing material consumed' - raw and packing are merged into one line, so even the raw/packing split other paint companies give is unavailable here. Checked p109, p119, p142."
INE883A01011,tyres,"AGGREGATED_SINGLE_LINE: Note 19 (p124 standalone, p199 consolidated) is opening stock / purchases / closing stock only. The SEBI LODR commodity table (p71) quantifies exactly one commodity - Natural Rubber, ₹4710.25 crores, 249350 MT - which is the NON-crude input; the crude-linked basket is not quantified anywhere. A crude share cannot be derived by subtraction because the residual also contains steel cord, bead wire and zinc oxide."
INE930P01018,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note 25(a)/27(a) (p218 standalone, p287 consolidated) is an opening/purchases/closing roll-forward with no components. Checked p180, p218, p249, p287."
INE959A01019,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note 23 (p158) gives 'Raw material consumed ... Consumption 132,353.56' and 'Packing material consumed ... Consumption 3,211.72'. No commodity split. Checked p104, p123, p139, p146, p158."
